asset_id_base,rates
BTC,"{'time': '2023-03-24T01:50:06.0000000Z', 'asset_id_quote': 'ATM', 'rate': 10577.049515718263}"
BTC,"{'time': '2023-03-24T01:50:06.0000000Z', 'asset_id_quote': 'ATO', 'rate': 2422.5246018911}"
BTC,"{'time': '2023-03-24T01:50:06.0000000Z', 'asset_id_quote': 'ATOLO', 'rate': 4043242.263361998}"
BTC,"{'time': '2023-03-24T01:50:06.0000000Z', 'asset_id_quote': 'ATOM', 'rate': 2419.2490476818152}"
BTC,"{'time': '2023-03-24T01:50:06.0000000Z', 'asset_id_quote': 'ATOM2L', 'rate': 4367.198612988291}"
BTC,"{'time': '2023-03-24T01:50:06.0000000Z', 'asset_id_quote': 'ATOM2S', 'rate': 9330.252874592567}"
BTC,"{'time': '2023-03-24T01:50:06.0000000Z', 'asset_id_quote': 'ATOM3L', 'rate': 132753570.71263413}"
BTC,"{'time': '2023-03-24T01:50:06.0000000Z', 'asset_id_quote': 'ATOM3S', 'rate': 7802147.558676259}"
BTC,"{'time': '2023-03-24T01:50:06.0000000Z', 'asset_id_quote': 'ATOM5L', 'rate': 415594.545934036}"
BTC,"{'time': '2023-03-24T01:50:06.0000000Z', 'asset_id_quote': 'ATOM5S', 'rate': 81851.50758835062}"
BTC,"{'time': '2023-03-24T01:50:06.0000000Z', 'asset_id_quote': 'ATOZ', 'rate': 192125.9777534384}"
BTC,"{'time': '2023-03-24T01:50:06.0000000Z', 'asset_id_quote': 'ATRI', 'rate': 6471303.579755552}"
BTC,"{'time': '2023-03-24T01:50:06.0000000Z', 'asset_id_quote': 'ATS', 'rate': 4036368.3737340295}"
BTC,"{'time': '2023-03-24T01:50:06.0000000Z', 'asset_id_quote': 'ATTR', 'rate': 13049992.199620696}"
BTC,"{'time': '2023-03-24T01:50:06.0000000Z', 'asset_id_quote': 'AUCTION', 'rate': 5077.452252005234}"
BTC,"{'time': '2023-03-24T01:50:06.0000000Z', 'asset_id_quote': 'AUD', 'rate': 42381.38724025888}"
BTC,"{'time': '2023-03-24T01:50:06.0000000Z', 'asset_id_quote': 'AUDIO', 'rate': 99968.43407790284}"
BTC,"{'time': '2023-03-24T01:50:06.0000000Z', 'asset_id_quote': 'AUDIO3L', 'rate': 27141.23603513701}"
BTC,"{'time': '2023-03-24T01:50:06.0000000Z', 'asset_id_quote': 'AUDIO3S', 'rate': 29888.513563952976}"
BTC,"{'time': '2023-03-24T01:50:06.0000000Z', 'asset_id_quote': 'AUDT', 'rate': 1654204.9000900555}"
BTC,"{'time': '2023-03-24T01:50:06.0000000Z', 'asset_id_quote': 'AURORA', 'rate': 145604.66354020368}"
BTC,"{'time': '2023-03-24T01:50:06.0000000Z', 'asset_id_quote': 'AURY', 'rate': 50138.7178784732}"
BTC,"{'time': '2023-03-24T01:50:06.0000000Z', 'asset_id_quote': 'AUSD', 'rate': 254894.444560825}"
BTC,"{'time': '2023-03-24T01:50:06.0000000Z', 'asset_id_quote': 'AUTO', 'rate': 119.63711157779845}"
BTC,"{'time': '2023-03-24T01:50:06.0000000Z', 'asset_id_quote': 'AUTUMN', 'rate': 5595193.393264231}"
BTC,"{'time': '2023-03-24T01:50:06.0000000Z', 'asset_id_quote': 'AVA', 'rate': 45140.6543292907}"
BTC,"{'time': '2023-03-24T01:50:06.0000000Z', 'asset_id_quote': 'AVAX', 'rate': 1614.2985559103963}"
BTC,"{'time': '2023-03-24T01:50:06.0000000Z', 'asset_id_quote': 'AVAX2L', 'rate': 4570.540618986567}"
BTC,"{'time': '2023-03-24T01:50:06.0000000Z', 'asset_id_quote': 'AVAX2S', 'rate': 37280.756401365536}"
BTC,"{'time': '2023-03-24T01:50:06.0000000Z', 'asset_id_quote': 'AVAX3L', 'rate': 292073762.2922435}"
BTC,"{'time': '2023-03-24T01:50:06.0000000Z', 'asset_id_quote': 'AVAX3S', 'rate': 913253.1108887241}"
BTC,"{'time': '2023-03-24T01:50:06.0000000Z', 'asset_id_quote': 'AVAX5L', 'rate': 16380.159563808127}"
BTC,"{'time': '2023-03-24T01:50:06.0000000Z', 'asset_id_quote': 'AVAX5S', 'rate': 56557.75290874329}"
